slot_key,name,description,content_provider,template_path,is_active
slt-1,Footer,"In the Store Footer section, On Desktop, left side of the Store Footer. On Mobile, top of the Store Footer.",SprykerCmsSlotBlock,@ShopUi/templates/page-layout-main/page-layout-main.twig,1
slt-2,Full Width Carousel,"Top promotions section, below Store Header including Navigation, and above rest of the Home Page Content.",SprykerCmsSlotBlock,@HomePage/views/home/home.twig,1
slt-3,1st in-frame full width Content,"1st Content section for full width rectangle Blocks in the Home Page, below Top Promotions section, and above Grid section.",SprykerCmsSlotBlock,@HomePage/views/home/home.twig,1
slt-4,in-frame Grid Content,"A Content section for square Blocks in the Home Page, below 1st in-frame full width section, and above 2nd in-frame full width section.",SprykerCmsSlotBlock,@HomePage/views/home/home.twig,1
slt-5,2nd in-frame full width Content,"2nd Content section for full width rectangle Blocks in the Home Page, below Grid section, and above Store Footer.",SprykerCmsSlotBlock,@HomePage/views/home/home.twig,1
slt-6,Top,"On Desktop it's below the Category Image above the Products Grid/List, right side to the Grid/List selector and width is same as the Products Grid/List. On Mobile it's below the Filters/Sorting, above Grid/List selector and width is same as the Products Grid/List.",SprykerCmsSlotBlock,@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,1
slt-7,Middle,On Desktop it's below the Filters/Sorting and width is same as the the Filters/Sorting. No Mobile.,SprykerCmsSlotBlock,@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,1
slt-8,Bottom,"On Desktop and on Mobile it's below the Pagination above the Store Footer, width is same as the Products Grid/List.",SprykerCmsSlotBlock,@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,1
slt-9,Bottom,Exists both on Desktop and Mobile below the Product Details and above Store Footer. Width is as the Product Details.,SprykerCmsSlotBlock,@ProductDetailPage/views/pdp/pdp.twig,1
slt-10,Bottom,Exists both on Desktop and Mobile below the CMS Page Placeholders and above Store Footer.,SprykerCmsSlotBlock,@Cms/templates/placeholders-title-content-slot/placeholders-title-content-slot.twig,1
slt-desktop-header,Header desktop view,"In the store Header section, On desktop, below the logo.",SprykerCmsSlotBlock,@ShopUi/templates/page-layout-main/page-layout-main.twig,1
slt-footer-partners,Footer partners,"In the store Footer section, On desktop, bottom of the page. On mobile, bottom of the page.",SprykerCmsSlotBlock,@ShopUi/templates/page-layout-main/page-layout-main.twig,1
slt-footer-navigation,Footer navigation,"In the store Footer section, On desktop, bottom of the page. On mobile, bottom of the page.",SprykerCmsSlotBlock,@ShopUi/templates/page-layout-main/page-layout-main.twig,1
slt-footer-social-links,Footer social links,"In the store Footer section, On desktop, bottom of the page. On mobile, bottom of the page.",SprykerCmsSlotBlock,@ShopUi/templates/page-layout-main/page-layout-main.twig,1
slt-mobile-header,Header mobile view,"In the store Header section. On mobile, under the hamburger menu.",SprykerCmsSlotBlock,@ShopUi/templates/page-layout-main/page-layout-main.twig,1
slt-footer-checkout-navigation,Footer navigation checkout,"In the store Footer section, On desktop, bottom of the page. On mobile, bottom of the page.",SprykerCmsSlotBlock,@CheckoutPage/templates/page-layout-checkout/page-layout-checkout.twig,1
