block_key,block_name,template_name,template_path,active,placeholder.title.de_DE,placeholder.title.en_US,placeholder.content.de_DE,placeholder.content.en_US,placeholder.imageUrl.en_US,placeholder.imageUrl.de_DE,placeholder.link.en_US,placeholder.link.de_DE
blck-1,Your Experience is Our Priority,Section content collapser block,@CmsBlock/template/section_content-collapser_block.twig,1,<h2 class="section__title section__title--secondary">Ihre Erfahrung - <br>unsere Priorität</h2>,<h2 class="section__title section__title--secondary">Your Experience is Our Priority</h2>,"<p class=""section__text"">Schauen Sie auf die Tische Ihrer Mitarbeiter um zu sehen, dass Schreibwaren ein wichtiger Teil des täglichen Büroalltags sind. Stifte und anderes Zubehör wie Lineale, Spitzer, Radiergummis, <a class=""link--secondary"" href=""/de/b%C3%BCroausstattung/computerzubeh%C3%B6r"">Computerzubehör</a>, Locher, Scheren und mehr sind wichtige Werkzeuge Ihrer Mitarbeiter. Ohne <a class=""link--secondary"" href=""/de/b%C3%BCrobedarf/schreibwaren/kugelschreiber"">Kugelschreiber</a> wird Ihre Firma nicht in der Lage sein, ihre tägliche Arbeit zu erledigen.</p>
<p class=""section__text"">Von Ihrem Schreibtisch im Büro, in Besprechungen, Schulungen oder bei Ihnen zu Hause <br> bei uns finden Sie für jeden Bedarf und Anlass das passende Büro-Zubehör. Unser großes Sortiment an Büromaterialien bietet eine riesige Auswahl an praktischen <a class=""link--secondary"" href=""/de/b%C3%BCrobedarf/schreibwaren"">Schreibwaren</a>, Accessoires und Möbeln. Bestellen Sie jetzt bekannte Marken wie Edding, Stabilo, Pelikan und Faber Castell online.</p>","<p class=""section__text"">Look at any desktop to know that stationary is an important part of your employees day-to-day organization. Pens and other accessories such as rulers, sharpeners, erasers, <a class=""link--secondary"" href=""/en/office-equipment/computer-accessories"">computer accessories</a>, hole punches, scissors and more are your employees' most critical tools. Without a ballpoint <a class=""link--secondary"" href=""/en/stationery/writing-materials/pens"">pen</a>, your company will not be able to do their daily work.</p>
<p class=""section__text"">From your desk in the office, in meetings, trainings, or in your home <br> you will find suitable stationery for every need and purpose. Our wide assortment of office supplies offers a large selection of practical stationery, accessories and <a class=""link--secondary"" href=""http:/en/office-furniture"">furniture</a>. Order well-known brands like Edding, Stabilo, Pelikan and Faber Castell online now.</p>",,,,
blck-2,Category Banner-1,Banner block,@CmsBlock/template/banner_block.twig,1,<h2 class="section__title section__title--secondary">Beliebte Kategorien</h2>,<h2 class="section__title section__title--secondary">Featured Categories</h2>,<div class="banner__title">Tische</div><div class="banner__text">Egal ob kleine Einzel<br>- oder große Meeting-Tische <br>- sehen Sie sich unsere große Auswahl an hochwertigen Bürotischen an.</div>,"<div class=""banner__title"">Tables</div><div class=""banner__text"">From personal use to the boardroom, check out our large selection of high-quality office tables.</div>",/assets/static/images/category-banner-image-1@2x.jpg,/assets/static/images/category-banner-image-1@2x.jpg,/en/office-furniture/tables,/de/büromöbel/tische
blck-3,Category Banner-2,Banner grid column block,@CmsBlock/template/banner_grid_column_block.twig,1,<div class="banner__title">Schreibwaren</div>,<div class="banner__title">Writing Materials</div>,"<div class=""banner__text"">Eine riesige Auswahl an Kugelschreiber, Marker, Stiften und vielen mehr. Hier ist für jeden etwas dabei.</div>","<div class=""banner__text"">Stock up on the perfect pens, pencils, and markers for every member of your team.</div>",/assets/static/images/category-banner-image-2@2x.jpg,/assets/static/images/category-banner-image-2@2x.jpg,/en/stationery/writing-materials,/de/bürobedarf/schreibwaren
blck-4,Category Banner-3,Banner grid column block,@CmsBlock/template/banner_grid_column_block.twig,1,<div class="banner__title">Haftnotizen</div>,<div class="banner__title">Post-Its</div>,<div class="banner__text">Mit Haftnotzizzetteln jeder Form und Größe bleiben Sie und Ihr Team jederzeit organisiert und produktiv.</div>,<div class="banner__text">Organize and prioritize yourself or your team using our great selection of Post-Its.</div>,/assets/static/images/category-banner-image-3@2x.jpg,/assets/static/images/category-banner-image-3@2x.jpg,/en/stationery/paper/sticky-notes,/de/bürobedarf/papier/haftnotizen
blck-5,Category Banner-4,Banner grid column block,@CmsBlock/template/banner_grid_column_block.twig,1,<div class="banner__title">Bürostühle</div>,<div class="banner__title">Office Chairs</div>,"<div class=""banner__text"">Finden Sie den richtigen Stuhl, der sowohl komfortabel ist, als auch ein modernes Design hat.</div>",<div class="banner__text">Find the right chairs that are <br>both comfortable <br>and stylish.</div>,/assets/static/images/category-banner-image-4@2x.jpg,/assets/static/images/category-banner-image-4@2x.jpg,/en/office-furniture/chairs/office-chairs,/de/büromöbel/stühle/bürostühle
blck-6,Category Block Bottom,Title and Content,@CmsBlock/template/title_and_content_block.twig,1,<h2>Schaffen Sie eine einladende Arbeitsatmosphäre</h2>,<h2>Build a Space That Spurs Creativity</h2>,"<p>Nur weil es Arbeit ist, muss es sich nicht danach anfühlen. Überarbeiten Sie Ihre Büroräume, um eine organisierte, funktionale und <a href='/de/b%C3%BCroausstattung'>komfortable Arbeitsatmosphäre</a> zu schaffen, indem Sie aus Spryker's großer Auswahl wählen.</p> <p>Das Büro ist ein Ort, an dem die Leute die meiste Zeit ihres Tages verbringen. Deshalb hat es sich Spryker zur Aufgabe gemacht, sicherzustellen, dass <a href='/de/b%C3%BCrobedarf'>unsere Produktauswahl</a> Ihren Raum in einen einladenden, produktiven und kreativen Bereich verwandelt, um die besten Tallente für Sie zu gewinnen.</p>","<p>Just because it's work, doesn't mean it should feel like it. Complete your office space to create an organized, functional, and comfortable <a href='/en/office-equipment'>working environment</a> utilizing any item from Spryker's large selection.</p> <p>The office is a place where people spend a majority of their time, so Spryker has made it our mission to ensure <a href='/en/stationery'>our selection transforms your space</a> into a welcoming, productive, and creative area in order to attract and develop the best talent for your industry.</p>",,,,
blck-7,Category Block Middle,Title and Content,@CmsBlock/template/title_and_content_block.twig,1,<h2>Greifen Sie Ihre To-Dos an</h2>,<h2>Tackle Your To-Do's</h2>,"<p>Seien Sie der Büroheld und schaffen Sie mit zuverlässigen Artikel einen besseren Platz zum Arbeiten. Suchen Sie in der großen Auswahl von Spryker nach den besten <a href='/de/b%C3%BCrom%C3%B6bel'>Büromöbeln</a>, <a href='/de/b%C3%BCroausstattung/computerzubeh%C3%B6r'>Zubehör</a> und Elektronik in einer unübertroffenen Qualität und immer niedrigen Preisen.</p>","<p>Be the office hero by adding durable and reliable products to make your space a great place to work. Search Spryker's wide selection to find the best <a href='/en/office-furniture'>office furniture</a>, supplies, and <a href='/en/office-equipment/computer-accessories'>electronics</a> at an unmatched quality and always low price.</p>",,,,
blck-8,Product CMS Block,Product Block,@CmsBlock/template/product-cms-block.twig,1,Schaffen Sie eine einladende Arbeitsatmosphäre,Build a Space That Spurs Creativity,"<p>Nur weil es Arbeit ist, muss es sich nicht danach anfühlen. Überarbeiten Sie Ihre Büroräume, um eine organisierte, funktionale und <a href=""/de/b%C3%BCroausstattung"">komfortable Arbeitsatmosphäre</a> zu schaffen, indem Sie aus Spryker's großer Auswahl wählen.</p>
    <p>Das Büro ist ein Ort, an dem die Leute die meiste Zeit ihres Tages verbringen. Deshalb hat es sich Spryker zur Aufgabe gemacht, sicherzustellen, dass <a href=""/de/b%C3%BCrobedarf"">unsere Produktauswahl</a> Ihren Raum in einen einladenden, produktiven und kreativen Bereich verwandelt, um die besten Tallente für Sie zu gewinnen.</p>","<p>Just because it's work, doesn't mean it should feel like it. Complete your office space to create an organized, functional, and comfortable <a href=""/en/office-equipment"">working environment</a> utilizing any item from Spryker's large selection.</p>
    <p>The office is a place where people spend a majority of their time, so Spryker has made it our mission to ensure <a href=""/en/stationery"">our selection transforms your space</a> into a welcoming, productive, and creative area in order to attract and develop the best talent for your industry.</p>",,,,
blck-9,Homepage Top Banners Carousel,Jumbotron Block,@CmsBlock/template/jumbotron_block.twig,1,,,"{{ content_banner('br-1', 'home-page') }}{{ content_banner('br-2', 'home-page') }}{{ content_banner('br-3', 'home-page') }}","{{ content_banner('br-1', 'home-page') }}{{ content_banner('br-2', 'home-page') }}{{ content_banner('br-3', 'home-page') }}",,,,
blck-10,Homepage Featured Products,Section block,@CmsBlock/template/section_block.twig,1,<h2 class="section__title section__title--secondary">Produktangebote</h2>,<h2 class="section__title section__title--secondary">Featured Products</h2>,"<p class=""section__sub-title"">Es ist zwar Arbeit, aber es muss sich nicht danach anfühlen. Sehen Sie sich unsere Produktangebote an.</p>
{{ content_product_abstract_list('apl-1', 'slider') }}","<p class=""section__sub-title"">It might be work, but it doesn't have to feel like it. Explore some of our featured items.</p>
{{ content_product_abstract_list('apl-1', 'slider') }}",,,,
