template_path,slot_key,content_provider,name,description,is_active
@ShopUi/templates/page-layout-main/page-layout-main.twig,slt-1,SprykerCmsSlotBlock,Footer,"In the Store Footer section, On Desktop, left side of the Store Footer. On Mobile, top of the Store Footer.",1
@HomePage/views/home/home.twig,slt-2,SprykerCmsSlotBlock,Top Promotions,"Top promotions section, below Store Header including Navigation, and above rest of the Home Page Content.",1
@HomePage/views/home/home.twig,slt-3,SprykerCmsSlotBlock,Main,"As homepage is all content so it has one slot.",1
@HomePage/views/home/home.twig,slt-4,SprykerCmsSlotBlock,Main2,"As homepage is all content so it has one slot.",1
@HomePage/views/home/home.twig,slt-5,SprykerCmsSlotBlock,Main3,"As homepage is all content so it has one slot.",1
@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,slt-6,SprykerCmsSlotBlock,Top,"On Desktop it's below the Category Image above the Products Grid/List, right side to the Grid/List selector and width is same as the Products Grid/List. On Mobile it's below the Filters/Sorting, above Grid/List selector and width is same as the Products Grid/List.",1
@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,slt-7,SprykerCmsSlotBlock,Middle,"On Desktop it's below the Filters/Sorting and width is same as the the Filters/Sorting. No Mobile.",1
@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,slt-8,SprykerCmsSlotBlock,Bottom,"On Desktop and on Mobile it's below the Pagination above the Store Footer, width is same as the Products Grid/List.",1
@ProductDetailPage/views/pdp/pdp.twig,slt-9,SprykerCmsSlotBlock,Bottom,"Exists both on Desktop and Mobile below the Product Details and above Store Footer. Width is as the Product Details.",1
@Cms/templates/placeholders-title-content-slot/placeholders-title-content-slot.twig,slt-10,SprykerCmsSlotBlock,Bottom,"Exists both on Desktop and Mobile below the CMS Page Placeholders and above Store Footer.",1
